Scenario,GPR,ERT,Magnetometry,Radiometric,Self_Potential,Induced_Polarization,Seismic_Refraction,TEM,Gravity
Groundwater,1,2,3,4,5,6,7,8,9
Void_Detection,1,3,2,5,4,7,6,8,9
Archaeology,1,3,2,5,4,6,7,8,9
